================ Precision Log (Fri Apr 11 16:02:27 2025) ================
Epoch:520  sam 2.6424076557159424,psnr 34.21798324584961,ergas 0.5302646841261623,cc 0.9740111336013645,rmse 0.016335044480947237,Ssim 0.9478442233831273,Uqi 0.9969410193277958
Epoch:530  sam 2.650007486343384,psnr 33.50619125366211,ergas 0.5823337338876946,cc 0.9753886229517418,rmse 0.017934672759258207,Ssim 0.9488204401784069,Uqi 0.9957476093094881
Epoch:540  sam 3.00544810295105,psnr 33.45753860473633,ergas 0.5858768284111775,cc 0.9722669053800872,rmse 0.01801686502324536,Ssim 0.9466878982859667,Uqi 0.9959978090775247
Epoch:550  sam 2.5069053173065186,psnr 34.50442123413086,ergas 0.5176227553626098,cc 0.9734615915911957,rmse 0.015767428062613116,Ssim 0.9476060114558186,Uqi 0.9972256301711108
Epoch:560  sam 3.0694339275360107,psnr 32.7930793762207,ergas 0.6438383153722386,cc 0.9717079998006243,rmse 0.019149529847835238,Ssim 0.9382666414438773,Uqi 0.9952095761458557
Epoch:570  sam 2.8917174339294434,psnr 33.25566482543945,ergas 0.6171731810754733,cc 0.9736381245700896,rmse 0.01782729581676703,Ssim 0.9461840744368096,Uqi 0.995819541342532
Epoch:580  sam 2.5050907135009766,psnr 33.957122802734375,ergas 0.5380302200809585,cc 0.9751481393102457,rmse 0.017003654463943436,Ssim 0.9471984499497739,Uqi 0.9971202669419872
Epoch:590  sam 2.420529842376709,psnr 34.56175994873047,ergas 0.5017737375188889,cc 0.9769598361397092,rmse 0.01587619757174883,Ssim 0.9519714045954388,Uqi 0.9972690595050588
Epoch:600  sam 2.398772954940796,psnr 32.935447692871094,ergas 0.5888605239429561,cc 0.977676827026184,rmse 0.01907310735782849,Ssim 0.9526691502021694,Uqi 0.995942773095401
Epoch:610  sam 2.3285069465637207,psnr 35.085575103759766,ergas 0.47662825227178535,cc 0.9784559485929359,rmse 0.014822061188167418,Ssim 0.9562884209018604,Uqi 0.9977233970937831
Epoch:620  sam 3.5667784214019775,psnr 30.822587966918945,ergas 0.8425874051395441,cc 0.9765755312436698,rmse 0.027696039951202192,Ssim 0.9467403628484172,Uqi 0.990556095951481
